受管系统名称               产品代码 版本      状态
RZ:RZ-emrep-BL680-20_bak:RDB     RZ   06.31.02.XX N 
RZ:RZ-emrep12c-BL685-631:RDB     RZ   06.31.02.XX N 
RZ:RZ-fcs-P7502P1:RDB            RZ   06.31.02.XX N 
RZ:RZ-fdsdb-P74042P1_vcs:RDB     RZ   06.31.02.XX N 
RZ:RZ-shepherd-P740023P1:RDB     RZ   06.31.02.XX N 
RZ:cebift-cebift-P740071P2:RDB   RZ   06.31.02.XX N 
RZ:cobpsdb2-cobpsdb2-P75003:RDB  RZ   06.31.02.XX N 
RZ:ebicdb-ebicdb-P7509P1:RDB     RZ   06.31.02.XX N 
RZ:ebisdb-ebisdb-P750042P1:RDB   RZ   06.31.02.XX N 
RZ:ebppdb-ebppdb-P7403P1:RDB     RZ   06.31.02.XX N 
RZ:emrep-emrep-BL680-20_bak:RDB  RZ   06.31.02.XX N 
RZ:etl-etl-nf5280004:RDB         RZ   06.31.02.XX N 
RZ:fndb2-fndb2-P750033P1:RDB     RZ   06.31.02.XX N 
RZ:fndb2-fndb2-P750034P1:RDB     RZ   06.31.02.XX N 
RZ:iftsdb-iftsdb-P74017P1:RDB    RZ   06.31.02.XX N 
RZ:iftsdb-iftsdb-P74018P1:RDB    RZ   06.31.02.XX N 
RZ:otp-otp-P740109P1:RDB         RZ   06.31.02.XX N 
RZ:rz-golddb-S824006P1:RDB       RZ   06.31.02.XX N 
RZ:scfp-scfp-P74092P1:RDB        RZ   06.31.02.XX N 
R_UMP-APP-P38                    EM   06.30.06.00 N 
TJITUMP01:PA                     PA   06.23.01.00 N 
VM:vmceb-10.1.225.109:ESX        VM   07.20.01.XX N 
VM:vmceb-hp-bl685-379.ve:ESX     VM   07.20.01.XX N 
VM:vmcloud-10.1.225.113:ESX      VM   07.20.01.XX N 
VM:vmcloud-10.1.225.115:ESX      VM   07.20.01.XX N 
WRT6:HP-BL685-545:T5             T5   07.30.01.26 N 
ZHITUMP04:R01INFOSEC00           R0   06.00.00.XX N 
____:HP-BL685-545:KT3A           T3   07.30.01.XX N 
atmp1:P595W01P5:RZ               RZ   06.31.02.00 N 
bl685578:TEPS                    CQ   06.30.06.00 N 
cebfl:bl660163:RZ                RZ   06.31.02.02 N 
cebift:P740071P2:RZ              RZ   06.31.02.00 N 
cnapsdb:P750013P1:RZ             RZ   06.31.02.00 N 
cnapsdb:P750014P1:RZ             RZ   06.31.02.00 N 
cpmcpdb:P750026P1:RZ             RZ   06.31.02.02 N 
cpmwfdb:P750026P1:RZ             RZ   06.31.02.02 N 
ebicdb:P7509P1:RZ                RZ   06.31.02.00 N 
ebisdb:P750042P1:RZ              RZ   06.31.02.02 N 
ebppdb:P7403P1:RZ                RZ   06.31.02.00 N 
elms:bl660152:RZ                 RZ   06.31.02.02 N 
emrep12c:BL685-631:RZ            RZ   06.31.02.02 N 
emrep:BL680-20_bak:RZ            RZ   06.31.02.02 N 
etl:nf5280004:RZ                 RZ   06.31.02.02 N 
fcs:P7502P1:RZ                   RZ   06.31.02.02 N 
fdsdb:P74042P1_vcs:RZ            RZ   06.31.02.02 N 
golddb:S824006P1:RZ              RZ   06.31.02.02 N 
http:HP-BL685-545:KT3S           T3   07.30.01.XX N 
https:HP-BL685-545:KT3S          T3   07.30.01.XX N 
icmp:HP-BL685-545:KT3S           T3   07.30.01.XX N 
iftsdb:P74017P1:RZ               RZ   06.31.02.00 N 
iftsdb:P74018P1:RZ               RZ   06.31.02.02 N 
ntp:HP-BL685-545:KT3S            T3   07.30.01.XX N 
otp:P740109P1:RZ                 RZ   06.31.02.02 N 
scfp:P74092P1:RZ                 RZ   06.31.02.02 N 
shepherd:P740023P1:RZ            RZ   06.31.02.02 N 
UMP-APP-P02:Warehouse            HD   06.30.06.00 Y 
UMP-APP-P03:Warehouse            HD   06.30.06.00 Y 
bl685578:LZ                      LZ   06.23.01.00 Y 
bl685578:UA                      UM   06.23.01.00 Y 
bl685578ASFSdp:UAGENT00          UA   06.00.00.00 Y 
CCS-SLB-APP-P02:LZ               LZ   06.23.01.00 Y 
CCS-NLU-APP-P02:LZ               LZ   06.23.01.00 Y 
CCS-SLB-APP-P01:LZ               LZ   06.23.01.00 Y 
CCS-RED-APP-P01:LZ               LZ   06.23.01.00 Y 
CCS-DBI-APP-P02:LZ               LZ   06.23.01.00 Y 
CCS-BRK-APP-P01:LZ               LZ   06.23.01.00 Y 
CCS-RED-APP-P02:LZ               LZ   06.23.01.00 Y 
CCS-BRK-APP-P02:LZ               LZ   06.23.01.00 Y 
CCS-HTP-APP-P02:LZ               LZ   06.23.01.00 Y 
CCS-NLU-APP-P01:LZ               LZ   06.23.01.00 Y 
CCS-DBI-APP-P01:LZ               LZ   06.23.01.00 Y 
UMP-APP-P33:UA                   UM   06.23.01.00 Y 
UMP-APP-P33ASFSdp:UAGENT00       UA   06.00.00.00 Y 
JNITUMP01:KUL                    UL   06.23.01.00 Y 
BL680-209:UA                     UM   06.23.01.00 Y 
BL685-425:IS                     IS   07.30.00.XX Y 
UMP-APP-P19:KUL                  UL   06.23.01.00 Y 
HZITUMP01:KUL                    UL   06.23.01.00 Y 
ITUMP:HZITUMP01:RZ               RZ   06.31.00.00 Y 
FlashGetWayWH01:UA               UM   06.23.01.00 Y 
ITUMP:NCITUMP01:RZ               RZ   06.31.00.00 Y 
ResourceManagerWH01:UA           UM   06.23.01.00 Y 
ITUMP:DLITUMP01:RZ               RZ   06.31.00.00 Y 
ZHITUMP03:UA                     UM   06.23.01.00 Y 
WHZB-SUMP:KUL                    UL   06.23.01.00 Y 
ITUMP:CDITUMP01:RZ               RZ   06.31.00.00 Y 
UMP-APP-P19:UA                   UM   06.23.01.00 Y 
bl685-485:UA                     UM   06.23.01.00 Y 
BL685-103:UA                     UM   06.23.01.00 Y 
HP-BL685-545:UA                  UM   06.23.01.00 Y 
MediaServerWH01:UA               UM   06.23.01.00 Y 
SJZ-SUMP:UA                      UM   06.23.01.00 Y 
WX-SUMP:UA                       UM   06.23.01.00 Y 
WHZB-SUMP:UA                     UM   06.23.01.00 Y 
NPORT-APP-P41:UA                 UM   06.23.01.00 Y 
ITUMP:WLMQITUMP01:RZ             RZ   06.31.00.00 Y 
WLMQITUMP01:KUL                  UL   06.23.01.00 Y 
bl685-598:LZ                     LZ   06.23.01.00 Y 
DLITUMP01:KUL                    UL   06.23.01.00 Y 
NCITUMP01:KUL                    UL   06.23.01.00 Y 
QDITUMP01:KUL                    UL   06.23.01.00 Y 
NPORT-APP-P31:UA                 UM   06.23.01.00 Y 
BL460-32:UA                      UM   06.23.01.00 Y 
MediaServerWH02:UA               UM   06.23.01.00 Y 
BL680-20_bak:UA                  UM   06.23.01.00 Y 
CH242055:T5                      T5   07.30.01.00 Y 
bl685-435:UA                     UM   06.23.01.00 Y 
bl685-598:UA                     UM   06.23.01.00 Y 
IFT-WEB-P01:UA                   UM   06.23.01.00 Y 
TY101-M01:LZ                     LZ   06.23.01.00 Y 
CH242055:UA                      UM   06.23.01.00 Y 
SIPServerWH01:UA                 UM   06.23.01.00 Y 
TY101-M01:UA                     UM   06.23.01.00 Y 
UMP-APP-P01:UA                   UM   06.23.01.00 Y 
dl380-066:LZ                     LZ   06.23.01.00 Y 
UMP-APP-P01:LZ                   LZ   06.23.01.00 Y 
UMP-APP-P01:KUL                  UL   06.23.01.00 Y 
se_sd:LZ                         LZ   06.23.01.00 Y 
dl380-066:UA                     UM   06.23.01.00 Y 
BL685-W05:UA                     UM   06.23.01.00 Y 
emcsocsrv-jxq:LZ                 LZ   06.23.01.00 Y 
se_jxq:LZ                        LZ   06.23.01.00 Y 
CCIAPPP03:UA                     UM   06.23.01.00 Y 
GOLD-APP01-SD:LZ                 LZ   06.23.01.00 Y 
GOLD-APP02-SD:LZ                 LZ   06.23.01.00 Y 
GOLD-APP01-JXQ:LZ                LZ   06.23.01.00 Y 
GOLD-WEB01-SD:LZ                 LZ   06.23.01.00 Y 
se_jxq:UA                        UM   06.23.01.00 Y 
SAMS-APP-P01:LZ                  LZ   06.23.01.00 Y 
ITUMP:TJITUMP01:RZ               RZ   06.31.00.00 Y 
TJITUMP01:LZ                     LZ   06.23.01.00 Y 
BL685440:LZ                      LZ   06.23.01.00 Y 
AWP-WEB-P04:LZ                   LZ   06.23.01.00 Y 
HP-BL685-545:LZ                  LZ   06.23.01.00 Y 
ITUMP:XAITUMP01:RZ               RZ   06.31.00.00 Y 
CCIAPPP01:UA                     UM   06.23.01.00 Y 
XAITUMP01:LZ                     LZ   06.23.01.00 Y 
YTITUMP01:LZ                     LZ   06.23.01.00 Y 
FlashGetWayWH02:UA               UM   06.23.01.00 Y 
ldpsmgr:UA                       UM   06.23.01.00 Y 
CCIAPPP03:LZ                     LZ   06.23.01.00 Y 
SAMS-APP-P02:UA                  UM   06.23.01.00 Y 
UMP-APP-P31:LZ                   LZ   06.23.01.00 Y 
SAMS-APP-P03:UA                  UM   06.23.01.00 Y 
bl685-435:LZ                     LZ   06.23.01.00 Y 
BL460-022:LZ                     LZ   06.23.01.00 Y 
BL685-103:LZ                     LZ   06.23.01.00 Y 
FlashGetWayWH02:LZ               LZ   06.23.01.00 Y 
UMP-APP-P37:LZ                   LZ   06.23.01.00 Y 
IFT-WEB-P01:LZ                   LZ   06.23.01.00 Y 
EPAY-WEB-P04:LZ                  LZ   06.23.01.00 Y 
FUND-WEB-P04:LZ                  LZ   06.23.01.00 Y 
bl685-485:LZ                     LZ   06.23.01.00 Y 
EPAY-WEB-P02:LZ                  LZ   06.23.01.00 Y 
NagiosDMZ01:LZ                   LZ   06.23.01.00 Y 
NPORT-APP-P41:LZ                 LZ   06.23.01.00 Y 
ldpsmgr:LZ                       LZ   06.23.01.00 Y 
CH242042:UA                      UM   06.23.01.00 Y 
bl685-502:LZ                     LZ   06.23.01.00 Y 
CH242046:UA                      UM   06.23.01.00 Y 
bl685-483:LZ                     LZ   06.23.01.00 Y 
SJZ-SUMP:LZ                      LZ   06.23.01.00 Y 
SIPServerWH02:LZ                 LZ   06.23.01.00 Y 
tivoli-APP-T01:KUL               UL   06.23.01.00 Y 
tivoli-APP-T01:UA                UM   06.23.01.00 Y 
bl685-251:UA                     UM   06.23.05.00 Y 
ZHITUMP04:LZ                     LZ   06.23.01.00 Y 
BL460100:LZ                      LZ   06.23.01.00 Y 
WHZB-SUMP:LZ                     LZ   06.23.01.00 Y 
LZITUMP01:LZ                     LZ   06.23.01.00 Y 
BL685-W02:UA                     UM   06.23.01.00 Y 
SIPServerWH01:LZ                 LZ   06.23.01.00 Y 
192.168.3.122_EPAMS:NagiosDMZ01: 01   06.23.00.02 Y 
CH242044:LZ                      LZ   06.23.01.00 Y 
SAMS-APP-P01:UA                  UM   06.23.01.00 Y 
CH242059:LZ                      LZ   06.23.01.00 Y 
GTS-APP-P01:LZ                   LZ   06.23.01.00 Y 
GTS-APP-P02:LZ                   LZ   06.23.01.00 Y 
GTS-APP-P04:LZ                   LZ   06.23.01.00 Y 
GTS-APP-P03:LZ                   LZ   06.23.01.00 Y 
CH242057:LZ                      LZ   06.23.01.00 Y 
GTS-APP-P05:LZ                   LZ   06.23.01.00 Y 
FUND-WEB-P03:LZ                  LZ   06.23.01.00 Y 
ResourceManagerWH02:UA           UM   06.23.01.00 Y 
UMP-APP-P36:KUL                  UL   06.23.01.00 Y 
AWP-WEB-P04:UA                   UM   06.23.01.00 Y 
WX-SUMP:LZ                       LZ   06.23.01.00 Y 
BL685604:LZ                      LZ   06.23.01.00 Y 
AWP-WEB-P03:LZ                   LZ   06.23.01.00 Y 
UMP-APP-P18:LZ                   LZ   06.23.01.00 Y 
ZHITUMP03:LZ                     LZ   06.23.01.00 Y 
CCIAPPP01:LZ                     LZ   06.23.01.00 Y 
AWP-WEB-P01:LZ                   LZ   06.23.01.00 Y 
IFTS-WEB-P01:UA                  UM   06.23.01.00 Y 
UMP-APP-P30:LZ                   LZ   06.23.01.00 Y 
IFTS-WEB-P02:UA                  UM   06.23.01.00 Y 
CDITUMP01:LZ                     LZ   06.23.01.00 Y 
NCITUMP01:LZ                     LZ   06.23.01.00 Y 
AWP-WEB-P02:LZ                   LZ   06.23.01.00 Y 
bl685-251:LZ                     LZ   06.23.05.00 Y 
HZITUMP01:LZ                     LZ   06.23.01.00 Y 
CH242057:UA                      UM   06.23.01.00 Y 
IFTS-WEB-P01:LZ                  LZ   06.23.01.00 Y 
LDPSDB:ldpsmgr:RZ                RZ   06.31.02.02 Y 
MFTAPP:bl685-251:UA              UM   06.23.05.00 Y 
NPORT-APP-P31:LZ                 LZ   06.23.01.00 Y 
YT-SUMP:LZ                       LZ   06.23.01.00 Y 
IFTS-WEB-P02:LZ                  LZ   06.23.01.00 Y 
bl685-100:LZ                     LZ   06.23.01.00 Y 
BL460-32:LZ                      LZ   06.23.01.00 Y 
UMP-APP-P18:KUL                  UL   06.23.01.00 Y 
CH242042:LZ                      LZ   06.23.01.00 Y 
bl685-101:LZ                     LZ   06.23.01.00 Y 
NNITUMP01:LZ                     LZ   06.23.01.00 Y 
UMP-APP-P36:UA                   UM   06.23.01.00 Y 
CH242055:LZ                      LZ   06.23.01.00 Y 
CH242044:UA                      UM   06.23.01.00 Y 
CH242059:UA                      UM   06.23.01.00 Y 
SAMS-APP-P02:LZ                  LZ   06.23.01.00 Y 
BL460-022:UA                     UM   06.23.01.00 Y 
YT-SUMP:UA                       UM   06.23.01.00 Y 
UMP-APP-P19:LZ                   LZ   06.23.01.00 Y 
AWP-WEB-P01:UA                   UM   06.23.01.00 Y 
ZHITUMP03:IS                     IS   07.30.01.XX Y 
ITUMP:FZITUMP01:RZ               RZ   06.31.00.00 Y 
UMP-APP-P18:UA                   UM   06.23.01.00 Y 
FZITUMP01:LZ                     LZ   06.23.01.00 Y 
BL685-085:LZ                     LZ   06.23.01.00 Y 
BL685-W05:LZ                     LZ   06.23.01.00 Y 
BL685-W04:LZ                     LZ   06.23.01.00 Y 
BL685-W02:LZ                     LZ   06.23.01.00 Y 
CSITUMP01:LZ                     LZ   06.23.01.00 Y 
FlashGetWayWH01:LZ               LZ   06.23.01.00 Y 
DLITUMP01:LZ                     LZ   06.23.01.00 Y 
WXITUMP01:LZ                     LZ   06.23.01.00 Y 
UMP-APP-P36:LZ                   LZ   06.23.01.00 Y 
SEBS-WDS-P01:LZ                  LZ   06.23.01.00 Y 
SZITUMP01:LZ                     LZ   06.23.01.00 Y 
CQITUMP01:LZ                     LZ   06.23.01.00 Y 
ResourceManagerWH02:LZ           LZ   06.23.01.00 Y 
ResourceManagerWH01:LZ           LZ   06.23.01.00 Y 
MediaServerWH01:LZ               LZ   06.23.01.00 Y 
MediaServerWH02:LZ               LZ   06.23.01.00 Y 
HLJITUMP01:LZ                    LZ   06.23.01.00 Y 
NJITUMP01:LZ                     LZ   06.23.01.00 Y 
WLMQITUMP01:LZ                   LZ   06.23.01.00 Y 
QDITUMP01:LZ                     LZ   06.23.01.00 Y 
HFITUMP01:LZ                     LZ   06.23.01.00 Y 
TJITUMP01:KUL                    UL   06.23.01.00 Y 
bl685-530:LZ                     LZ   06.23.01.00 Y 
ZZITUMP01:LZ                     LZ   06.23.01.00 Y 
ITUMP:LZITUMP01:RZ               RZ   06.31.00.00 Y 
LZITUMP01:KUL                    UL   06.23.01.00 Y 
ZHITUMP03:KUL                    UL   06.23.01.00 Y 
BL685604:UA                      UM   06.23.01.00 Y 
se_sd:UA                         UM   06.23.01.00 Y 
bl685-533:LZ                     LZ   06.23.01.00 Y 
INTRAAPP01:UA                    UM   06.23.01.00 Y 
INTRAAPP02:UA                    UM   06.23.01.00 Y 
ITUMP:HLJITUMP01:RZ              RZ   06.31.00.00 Y 
HFITUMP01:KUL                    UL   06.23.01.00 Y 
INTRAAPP02:LZ                    LZ   06.23.01.00 Y 
INTRAAPP01:LZ                    LZ   06.23.01.00 Y 
AWP-WEB-P02:UA                   UM   06.23.01.00 Y 
ITUMP:YTITUMP01:RZ               RZ   06.31.00.00 Y 
bl685-530:UA                     UM   06.23.01.00 Y 
bl685-533:UA                     UM   06.23.01.00 Y 
AWP-WEB-P03:UA                   UM   06.23.01.00 Y 
YTITUMP01:KUL                    UL   06.23.01.00 Y 
bl680-012:LZ                     LZ   06.23.01.00 Y 
192.168.3.124_EPAMS:NagiosDMZ01: 01   06.23.00.02 Y 
bl685-443:LZ                     LZ   06.23.01.00 Y 
ZHITUMP04:KUL                    UL   06.23.01.00 Y 
DL380083:LZ                      LZ   06.23.01.00 Y 
bl685-502:UA                     UM   06.23.01.00 Y 
bl680-012:UA                     UM   06.23.01.00 Y 
bl680-062:LZ                     LZ   06.23.01.00 Y 
WXITUMP01:KUL                    UL   06.23.01.00 Y 
ITUMP:WXITUMP01:RZ               RZ   06.31.00.00 Y 
CDITUMP01:KUL                    UL   06.23.01.00 Y 
ITUMP:QDITUMP01:RZ               RZ   06.31.00.00 Y 
ITUMP:ZZITUMP01:RZ               RZ   06.31.00.00 Y 
ITUMP:CQITUMP01:RZ               RZ   06.31.00.00 Y 
ITUMP:SZITUMP01:RZ               RZ   06.31.00.00 Y 
ITUMP:NNITUMP01:RZ               RZ   06.31.00.00 Y 
NNITUMP01:KUL                    UL   06.23.01.00 Y 
NJITUMP01:KUL                    UL   06.23.01.00 Y 
192.168.3.123_EPAMS:NagiosDMZ01: 01   06.23.00.02 Y 
ITUMP:HFITUMP01:RZ               RZ   06.31.00.00 Y 
DL380083:UA                      UM   06.23.01.00 Y 
bl685-443:UA                     UM   06.23.01.00 Y 
bl685-100:UA                     UM   06.23.01.00 Y 
ITUMP:JNITUMP01:RZ               RZ   06.31.00.00 Y 
BL685645:LZ                      LZ   06.23.01.00 Y 
bl680-062:UA                     UM   06.23.01.00 Y 
bl685-101:UA                     UM   06.23.01.00 Y 
bl685-531:LZ                     LZ   06.23.01.00 Y 
bl685-531:UA                     UM   06.23.01.00 Y 
BL460100:UA                      UM   06.23.01.00 Y 
GTS-APP-P01:T5                   T5   07.30.01.00 Y 
GTS-APP-P03:T5                   T5   07.30.01.00 Y 
GTS-APP-P02:T5                   T5   07.30.01.00 Y 
GTS-APP-P04:T5                   T5   07.30.01.00 Y 
GTS-APP-P05:T5                   T5   07.30.01.00 Y 
BL685645:UA                      UM   06.23.01.00 Y 
DL380073:LZ                      LZ   06.23.01.00 Y 
SEBSAPP:SEBS-WDS-P01:UA          UM   06.23.01.00 Y 
SEBS-WDS-P01:UA                  UM   06.23.01.00 Y 
DL380073:UA                      UM   06.23.01.00 Y 
UMP-APP-P30:KUL                  UL   06.23.01.00 Y 
UMP-APP-P30:UA                   UM   06.23.01.00 Y 
YT-SUMP:KUL                      UL   06.23.01.00 Y 
bl685-555:UA                     UM   06.23.01.00 Y 
CSITUMP01:KUL                    UL   06.23.01.00 Y 
AAP-APP-P05:LZ                   LZ   06.23.01.00 Y 
UMP-APP-P31:KUL                  UL   06.23.01.00 Y 
AAP-APP-P06:LZ                   LZ   06.23.01.00 Y 
bl685-555:LZ                     LZ   06.23.01.00 Y 
JNITUMP01:LZ                     LZ   06.23.01.00 Y 
GOLD-WEB01-SD:UA                 UM   06.23.01.00 Y 
emcsocsrv-jxq:UA                 UM   06.23.01.00 Y 
UMP-APP-P05:Warehouse            HD   06.30.06.00 Y 
UMP-APP-P05:LZ                   LZ   06.23.01.00 Y 
EBIS-APP-P04:LZ                  LZ   06.23.01.00 Y 
EBIS-APP-P06:LZ                  LZ   06.23.01.00 Y 
UMP-APP-P05:KUL                  UL   06.23.01.00 Y 
CH242057:T5                      T5   07.30.01.00 Y 
ITUMP:CSITUMP01:RZ               RZ   06.31.00.00 Y 
ITUMP:NJITUMP01:RZ               RZ   06.31.00.00 Y 
EBIS-APP-P06:UA                  UM   06.23.01.00 Y 
EBIS-APP-P04:UA                  UM   06.23.01.00 Y 
CH242044:T5                      T5   07.30.01.00 Y 
UMP-APP-P05:UA                   UM   06.23.01.00 Y 
emrep:BL680-20:RZ                RZ   06.31.02.02 Y 
TY102-M02:LZ                     LZ   06.23.01.00 Y 
SIPServerWH02:UA                 UM   06.23.01.00 Y 
GOLD-APP01-JXQ:UA                UM   06.23.01.00 Y 
GOLD-APP02-SD:UA                 UM   06.23.01.00 Y 
CH242042:T5                      T5   07.30.01.00 Y 
FZITUMP01:KUL                    UL   06.23.01.00 Y 
FUND-WEB-P04:UA                  UM   06.23.01.00 Y 
NagiosDMZ01:KUL                  UL   06.23.01.00 Y 
UMP-APP-P37:KUL                  UL   06.23.01.00 Y 
FUND-WEB-P03:UA                  UM   06.23.01.00 Y 
emcsocsrv-sd:UA                  UM   06.23.01.00 Y 
BL680-209:LZ                     LZ   06.23.01.00 Y 
TY102-M02:UA                     UM   06.23.01.00 Y 
CH242059:T5                      T5   07.30.01.00 Y 
BL685-085:UA                     UM   06.23.01.00 Y 
BL685-084:UA                     UM   06.23.01.00 Y 
UMP-APP-P37:UA                   UM   06.23.01.00 Y 
HLJITUMP01:KUL                   UL   06.23.01.00 Y 
GTS-APP-P01:UA                   UM   06.23.01.00 Y 
GTS-APP-P03:UA                   UM   06.23.01.00 Y 
GTS-APP-P04:UA                   UM   06.23.01.00 Y 
GTS-APP-P02:UA                   UM   06.23.01.00 Y 
GTS-APP-P05:UA                   UM   06.23.01.00 Y 
WLSM:BL680-209:RZ                RZ   06.31.02.02 Y 
NagiosDMZ01:UA                   UM   06.23.01.00 Y 
CH242046:T5                      T5   07.30.01.00 Y 
SAMS-APP-P03:LZ                  LZ   06.23.01.00 Y 
CH242046:LZ                      LZ   06.23.01.00 Y 
BL680-20_bak:LZ                  LZ   06.23.01.00 Y 
UMP-APP-P30ASFSdp:UAGENT00       UA   06.00.00.00 Y 
GOLD-WEB01-SDASFSdp:UAGENT00     UA   06.00.00.00 Y 
GOLD-WEB01-SD:R23CHECK_MONITOR00 R2   06.00.00.XX Y 
UMP-APP-P05ASFSdp:UAGENT00       UA   06.00.00.00 Y 
UMP-APP-P05:N30_URLMONITOR00     N3   06.00.00.XX Y 
RZ:ITUMP-ITUMP-CSITUMP01:RDB     RZ   06.31.00.XX Y 
RZ:ITUMP-ITUMP-NJITUMP01:RDB     RZ   06.31.00.XX Y 
SIPServerWH02ASFSdp:UAGENT00     UA   06.00.00.00 Y 
emcsocsrv-jxqASFSdp:UAGENT00     UA   06.00.00.00 Y 
FUND-WEB-P04ASFSdp:UAGENT00      UA   06.00.00.00 Y 
FUND-WEB-P04:R23CHECK_MONITOR00  R2   06.00.00.XX Y 
FUND-WEB-P03ASFSdp:UAGENT00      UA   06.00.00.00 Y 
FUND-WEB-P03:R23CHECK_MONITOR00  R2   06.00.00.XX Y 
BL685-084ASFSdp:UAGENT00         UA   06.00.00.00 Y 
BL685-084:R23CHECK_MONITOR00     R2   06.00.00.XX Y 
BL685-085ASFSdp:UAGENT00         UA   06.00.00.00 Y 
BL685-085:R23CHECK_MONITOR00     R2   06.00.00.XX Y 
UMP-APP-P37ASFSdp:UAGENT00       UA   06.00.00.00 Y 
GTS-APP-P03ASFSdp:UAGENT00       UA   06.00.00.00 Y 
GTS-APP-P03:N32_GTS00            N3   06.00.00.XX Y 
GTS-APP-P04ASFSdp:UAGENT00       UA   06.00.00.00 Y 
GTS-APP-P04:N32_GTS00            N3   06.00.00.XX Y 
GTS-APP-P01ASFSdp:UAGENT00       UA   06.00.00.00 Y 
GTS-APP-P01:N32_GTS00            N3   06.00.00.XX Y 
GTS-APP-P02ASFSdp:UAGENT00       UA   06.00.00.00 Y 
GTS-APP-P02:N32_GTS00            N3   06.00.00.XX Y 
GTS-APP-P05ASFSdp:UAGENT00       UA   06.00.00.00 Y 
GTS-APP-P05:N32_GTS00            N3   06.00.00.XX Y 
NagiosDMZ01ASFSdp:UAGENT00       UA   06.00.00.00 Y 
FlashGetWayWH01ASFSdp:UAGENT00   UA   06.00.00.00 Y 
RZ:ITUMP-ITUMP-HZITUMP01:RDB     RZ   06.31.00.XX Y 
sourceManagerWH01ASFSdp:UAGENT00 UA   06.00.00.00 Y 
RZ:ITUMP-ITUMP-NCITUMP01:RDB     RZ   06.31.00.XX Y 
RZ:ITUMP-ITUMP-DLITUMP01:RDB     RZ   06.31.00.XX Y 
ZHITUMP03ASFSdp:UAGENT00         UA   06.00.00.00 Y 
ZHITUMP03SNMPdp:UAGENT00         UA   06.00.00.00 Y 
ZHITUMP03:R35GTSCONN01           R3   06.01.02.XX Y 
ZHITUMP03:R01INFOSEC00           R0   06.00.00.XX Y 
ZHITUMP03:SNMP-MANAGER00         SN   06.00.00.XX Y 
RZ:ITUMP-ITUMP-CDITUMP01:RDB     RZ   06.31.00.XX Y 
