受管系统名称               产品代码 版本      状态
10.1.37.154:N99_LINUXEXT00       N9   06.00.00.XX N 
10.1.37.154:R23CHECK_MONITOR00   R2   06.00.00.XX N 
10.1.37.154ASFSdp:UAGENT00       UA   06.00.00.00 N 
BL685-631:KUL                    UL   06.23.05.00 N 
BL685-631:LZ                     LZ   06.23.01.00 N 
BL685-631:UA                     UM   06.23.01.00 N 
BL685557:BL685557:MSS            OQ   06.23.00.00 N 
BL685605:BL685605:MSS            OQ   06.23.00.00 N 
CEMB-WX:HP-BL685-545:KT3A        T3   07.30.01.XX N 
DL560002:SY                      SY   06.30.06.00 N 
DL560002:TEPS                    CQ   06.30.06.00 N 
ECM-Profile:HP-BL685-545:KT3S    T3   07.30.01.XX N 
HTTP74:HP-BL685-545:KT3S         T3   07.30.01.XX N 
IMPACT360:HP-BL685-542:MSS       OQ   06.23.00.00 N 
JNITUMP01:PA                     PA   06.23.01.00 N 
NIMS-APP-P10:NIMS-APP-P10:MSS    OQ   06.23.00.00 N 
NIMS-APP-P11:NIMS-APP-P11:MSS    OQ   06.23.00.00 N 
NMS:NAS2:RZ                      RZ   06.31.00.00 N 
QM_CEB_CNAPS:P750014P1:MQ        MQ   07.10.00.00 N 
QM_FTZMIS_603100000010_01::MQ    MQ   07.10.00.00 N 
QM_RCPMIS_6031000000:HP-BL685:MQ MQ   07.10.00.00 N 
QM_RCPMIS_6031000000:WIN-8TN5:MQ MQ   07.10.00.00 N 
RZ:ASM-atmp1-P740070P2:ASM       RZ   06.31.02.XX N 
RZ:ASM-atmp2-P740036P1:ASM       RZ   06.31.02.XX N 
RZ:ASM-atmp2-P740069P1:ASM       RZ   06.31.02.XX N 
RZ:ASM1-atmp1-P740067P1:ASM      RZ   06.31.02.XX N 
RZ:ASM1-tpos1-P740066P2:ASM      RZ   06.31.02.XX N 
RZ:ASM1-tpos1-P740067P2:ASM      RZ   06.31.02.XX N 
RZ:ASM2-cobpsdb2-P750033P1:ASM   RZ   06.31.02.XX N 
RZ:ASM2-ebip2-P7803P2:ASM        RZ   06.31.02.XX N 
RZ:ASM2-ebip2-P7804P2:ASM        RZ   06.31.02.XX N 
RZ:ASM2-fndb2-P750033P1:ASM      RZ   06.31.02.XX N 
RZ:ASM2-tpos2-P740068P2:ASM      RZ   06.31.02.XX N 
RZ:ASM2-tpos2-P740069P2:ASM      RZ   06.31.02.XX N 
RZ:BOP-BOP-BL685-492:RDB         RZ   06.31.02.XX N 
RZ:NMS-NMS-NAS2:RDB              RZ   06.31.00.XX N 
RZ:RZ-cebfl-bl660163:RDB         RZ   06.31.02.XX N 
RZ:RZ-cnapsdb-P750013P1:RDB      RZ   06.31.02.XX N 
RZ:RZ-cnapsdb-P750014P1:RDB      RZ   06.31.02.XX N 
RZ:RZ-cpmcpdb-P750026P1:RDB      RZ   06.31.02.XX N 
RZ:RZ-cpmwfdb-P750026P1:RDB      RZ   06.31.02.XX N 
RZ:RZ-elms-bl660152:RDB          RZ   06.31.02.XX N 
RZ:RZ-emrep-BL680-20:RDB         RZ   06.31.02.XX N 
